flag	senseId	entryPath	gloss
	doltey.n#2	cregeen:e gholtey	his godson

	meek.v#1	cregeen:meek	to twink;
	meek.v#2	cregeen:veek	did wink, winked;

	meen.a#1	cregeen:meen	patient, dear, fine, mild, meek
	meen.a#2	cregeen:veen	See veein.

	surr.v#1	cregeen:surr	suffer, allow;
	surr.v#2	cregeen:surr	See sur.

	ymmylt.x#1	cregeen:ymmylt	See ymmilt.; tumble or roll, as a horse does after work;; See ymmilt.
	ymmylt.x#2	cregeen:ymmylt	‘wallowing’;
